-35000,-69994.1400
-34999,-69994.0000
-34998,-69990.2560
-34997,-69988.6060
-34996,-69986.5260
-34995,-69985.2860
-34994,-69983.9860
-34993,-69981.8900
-34992,-69978.3380
-34991,-69976.5640
-34990,-69975.8040
-34989,-69972.9760
-34988,-69970.1820
-34987,-69969.6260
-34986,-69966.2980
-34985,-69964.3900
-34984,-69963.8960
-34983,-69960.5720
-34982,-69958.0320
-34981,-69957.5680
-34980,-69954.1940
-34979,-69953.7700
-34978,-69950.3300
-34977,-69948.3560
-34976,-69947.7220
-34975,-69944.6500
-34974,-69943.0240
-34973,-69940.6720
-34972,-69938.5240
-34971,-69937.7360
-34970,-69935.3360
-34969,-69932.4380
-34968,-69930.5700
-34967,-69929.6720
-34966,-69927.2780
-34965,-69924.4300
-34964,-69922.0500
-34963,-69921.1340
-34962,-69918.0860
-34961,-69916.7860
-34960,-69915.8620
-34959,-69912.3860
-34958,-69910.3620
-34957,-69908.0680
-34956,-69906.2120
-34955,-69904.7480
-34954,-69903.0040
-34953,-69901.6080
-34952,-69898.7580
-34951,-69897.7820
-34950,-69894.7920
-34949,-69892.4500
-34948,-69890.9100
-34947,-69888.4120
-34946,-69887.7280
-34945,-69884.5160
-34944,-69883.3980
-34943,-69880.6620
-34942,-69879.6840
-34941,-69876.0600
-34940,-69874.2380
-34939,-69872.0180
-34938,-69870.0820
-34937,-69868.8480
-34936,-69867.1580
-34935,-69864.8940
-34934,-69862.0800
-34933,-69861.3880
-34932,-69859.4260
-34931,-69857.5520
-34930,-69854.4460
-34929,-69853.1420
-34928,-69850.8280
-34927,-69848.9580
-34926,-69846.9820
-34925,-69844.6620
-34924,-69843.7520
-34923,-69840.4240
-34922,-69838.8500
-34921,-69837.0360
-34920,-69835.9080
-34919,-69833.4200
-34918,-69831.0640
-34917,-69829.1940
-34916,-69826.1200
-34915,-69825.6280
-34914,-69823.0000
-34913,-69820.4320
-34912,-69818.6360
-34911,-69817.5340
-34910,-69815.5400
-34909,-69812.9560
-34908,-69810.5820
-34907,-69809.9020
-34906,-69806.4280
-34905,-69805.0220
-34904,-69803.0120
-34903,-69801.3200
-34902,-69799.7660
-34901,-69796.2400
-34900,-69794.9420
-34899,-69792.2400
-34898,-69790.4860
-34897,-69788.3560
-34896,-69786.0620
-34895,-69784.5700
-34894,-69782.9660
-34893,-69781.3820
-34892,-69779.0660
-34891,-69777.5540
-34890,-69775.8460
-34889,-69773.8300
-34888,-69770.4500
-34887,-69769.4760
-34886,-69767.9340
-34885,-69764.9540
-34884,-69763.1760
-34883,-69760.5100
-34882,-69759.5720
-34881,-69756.5620
-34880,-69754.8280
-34879,-69752.4820
-34878,-69751.1860
-34877,-69749.8760
-34876,-69746.1320
-34875,-69744.1200
-34874,-69743.7340
-34873,-69740.4740
-34872,-69738.1000
-34871,-69737.3780
-34870,-69734.8700
-34869,-69732.6900
-34868,-69730.5500
-34867,-69729.1360
-34866,-69726.1960
-34865,-69725.3500
-34864,-69723.7660
-34863,-69720.4480
-34862,-69719.0320
-34861,-69716.5580
-34860,-69714.1340
-34859,-69713.2900
-34858,-69711.6980
-34857,-69708.6780
-34856,-69706.8140
-34855,-69704.4240
-34854,-69702.2460
-34853,-69700.2360
-34852,-69698.5160
-34851,-69697.7900
-34850,-69695.4500
-34849,-69693.2940
-34848,-69690.6280
-34847,-69688.2300
-34846,-69686.2440
-34845,-69685.3140
-34844,-69683.1500
-34843,-69680.4180
-34842,-69678.0380
-34841,-69676.6380
-34840,-69675.7160
-34839,-69673.8580
-34838,-69670.7680
-34837,-69668.2820
-34836,-69666.0580
-34835,-69664.5080
-34834,-69663.8700
-34833,-69661.1140
-34832,-69658.9220
-34831,-69657.5520
-34830,-69655.0600
-34829,-69653.1960
-34828,-69650.5800
-34827,-69649.0620
-34826,-69647.2320
-34825,-69644.7480
-34824,-69642.0600
-34823,-69641.5580
-34822,-69638.0340
-34821,-69636.8280
-34820,-69635.9400
-34819,-69632.9360
-34818,-69630.6660
-34817,-69628.6620
-34816,-69627.9380
-34815,-69625.7840
-34814,-69622.9540
-34813,-69620.3340
-34812,-69619.9020
-34811,-69617.7840
